contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY241213C00614000,2024-12-12 21:10:19+00:00,614.0,0.01,0.0,0.0,0.0,0.0,3039.0,0,0.062509375,False,REGULAR,USD,2024-12-13
SPY241213C00615000,2024-12-12 21:09:07+00:00,615.0,0.01,0.0,0.0,0.0,0.0,2706.0,0,0.062509375,False,REGULAR,USD,2024-12-13
SPY241213C00616000,2024-12-12 21:14:38+00:00,616.0,0.01,0.0,0.0,0.0,0.0,1581.0,0,0.062509375,False,REGULAR,USD,2024-12-13
SPY241213C00617000,2024-12-12 21:14:28+00:00,617.0,0.01,0.0,0.0,0.0,0.0,6095.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00618000,2024-12-12 20:58:04+00:00,618.0,0.01,0.0,0.0,0.0,0.0,371.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00619000,2024-12-12 19:28:49+00:00,619.0,0.01,0.0,0.0,0.0,0.0,3515.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00620000,2024-12-12 21:03:25+00:00,620.0,0.01,0.0,0.0,0.0,0.0,1760.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00621000,2024-12-12 18:09:28+00:00,621.0,0.01,0.0,0.0,0.0,0.0,321.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00622000,2024-12-12 20:44:28+00:00,622.0,0.01,0.0,0.0,0.0,0.0,208.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00623000,2024-12-12 20:31:16+00:00,623.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00624000,2024-12-12 14:44:02+00:00,624.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00625000,2024-12-12 20:54:14+00:00,625.0,0.01,0.0,0.0,0.0,0.0,126.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00630000,2024-12-12 20:57:37+00:00,630.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD,2024-12-13
SPY241213C00635000,2024-12-11 14:35:29+00:00,635.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,2024-12-13
SPY241213C00640000,2024-12-11 15:50:12+00:00,640.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,2024-12-13
SPY241213C00645000,2024-12-12 15:09:16+00:00,645.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,2024-12-13
SPY241213C00650000,2024-12-09 20:49:21+00:00,650.0,0.01,0.0,0.0,0.0,0.0,2619.0,0,0.2500075,False,REGULAR,USD,2024-12-13
SPY241213C00655000,2024-12-06 20:57:00+00:00,655.0,0.01,0.0,0.0,0.0,0.0,81.0,0,0.2500075,False,REGULAR,USD,2024-12-13
SPY241213C00660000,2024-12-06 20:58:49+00:00,660.0,0.01,0.0,0.0,0.0,0.0,2346.0,0,0.2500075,False,REGULAR,USD,2024-12-13
SPY241213C00665000,2024-12-06 14:48:42+00:00,665.0,0.01,0.0,0.0,0.0,0.0,25.0,0,0.500005,False,REGULAR,USD,2024-12-13
SPY241213C00670000,2024-12-09 18:15:06+00:00,670.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,2024-12-13
SPY241213C00675000,2024-12-06 14:42:12+00:00,675.0,0.01,0.0,0.0,0.0,0.0,13.0,0,0.500005,False,REGULAR,USD,2024-12-13
SPY241213C00680000,2024-12-06 14:38:40+00:00,680.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,2024-12-13
SPY241213C00685000,2024-12-04 15:25:06+00:00,685.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,2024-12-13
SPY241213C00690000,2024-12-04 14:41:25+00:00,690.0,0.01,0.0,0.0,0.0,0.0,25.0,0,0.500005,False,REGULAR,USD,2024-12-13
SPY241216C00500000,2024-12-12 16:12:47+00:00,500.0,107.3,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00545000,2024-12-05 17:57:23+00:00,545.0,64.2,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00550000,2024-12-12 20:14:06+00:00,550.0,55.28,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00565000,2024-12-10 17:51:05+00:00,565.0,40.36,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00570000,2024-12-11 20:56:25+00:00,570.0,38.05,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00575000,2024-12-12 20:36:20+00:00,575.0,30.87,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00580000,2024-12-10 20:03:48+00:00,580.0,24.23,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00585000,2024-12-12 19:22:00+00:00,585.0,20.54,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00586000,2024-12-12 20:46:51+00:00,586.0,19.61,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00587000,2024-12-06 21:00:00+00:00,587.0,21.66,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00588000,2024-12-12 18:10:14+00:00,588.0,19.19,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00589000,2024-12-06 15:34:40+00:00,589.0,20.58,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00590000,2024-12-12 20:59:51+00:00,590.0,14.9,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00591000,2024-12-12 19:30:29+00:00,591.0,14.49,0.0,0.0,0.0,0.0,19.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00592000,2024-12-10 19:56:11+00:00,592.0,12.48,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00593000,2024-12-10 20:59:52+00:00,593.0,10.75,0.0,0.0,0.0,0.0,56.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00594000,2024-12-12 20:46:03+00:00,594.0,11.74,0.0,0.0,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00595000,2024-12-12 20:59:48+00:00,595.0,10.01,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00596000,2024-12-12 19:22:00+00:00,596.0,9.65,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00597000,2024-12-12 21:11:46+00:00,597.0,7.68,0.0,0.0,0.0,0.0,49.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00598000,2024-12-12 21:13:01+00:00,598.0,6.76,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00599000,2024-12-12 21:12:33+00:00,599.0,5.87,0.0,0.0,0.0,0.0,33.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00600000,2024-12-12 21:14:48+00:00,600.0,5.07,0.0,0.0,0.0,0.0,45.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00601000,2024-12-12 21:05:59+00:00,601.0,4.2,0.0,0.0,0.0,0.0,270.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00602000,2024-12-12 21:12:33+00:00,602.0,3.38,0.0,0.0,0.0,0.0,245.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00603000,2024-12-12 21:12:16+00:00,603.0,2.7,0.0,0.0,0.0,0.0,513.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00604000,2024-12-12 21:14:53+00:00,604.0,2.07,0.0,0.0,0.0,0.0,1722.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-16
SPY241216C00605000,2024-12-12 21:14:54+00:00,605.0,1.52,0.0,0.0,0.0,0.0,9723.0,0,0.0039162109375,False,REGULAR,USD,2024-12-16
SPY241216C00606000,2024-12-12 21:14:46+00:00,606.0,1.07,0.0,0.0,0.0,0.0,16294.0,0,0.007822421875,False,REGULAR,USD,2024-12-16
SPY241216C00607000,2024-12-12 21:14:50+00:00,607.0,0.72,0.0,0.0,0.0,0.0,18725.0,0,0.007822421875,False,REGULAR,USD,2024-12-16
SPY241216C00608000,2024-12-12 21:14:32+00:00,608.0,0.47,0.0,0.0,0.0,0.0,13729.0,0,0.015634843750000002,False,REGULAR,USD,2024-12-16
SPY241216C00609000,2024-12-12 21:14:57+00:00,609.0,0.31,0.0,0.0,0.0,0.0,9746.0,0,0.015634843750000002,False,REGULAR,USD,2024-12-16
